CERTIFICATION,GENRE,APPELLATION,MENTION,LIEU,COULEUR,CEPAGE,LIBELLE_PRODUIT,IDENTIFIANT INAO
IGP,Tranquille,Lavilledieu,,,Rouge,,IGP Lavilledieu Rouge,3R040
IGP,Tranquille,Coteaux de Glanes,,,Blanc,,IGP Coteaux de Glanes Blanc,3B462
IGP,Tranquille,Coteaux de Glanes,,,Rosé,,IGP Coteaux de Glanes Rosé,3S462
IGP,Tranquille,Coteaux de Glanes,,,Rouge,,IGP Coteaux de Glanes Rouge,3R462
IGP,Tranquille,Coteaux de Glanes,Primeur,,Blanc,,IGP Coteaux de Glanes Primeur Blanc,3B462
IGP,Tranquille,Coteaux de Glanes,Primeur,,Rosé,,IGP Coteaux de Glanes Primeur Rosé,3S462
IGP,Tranquille,Coteaux de Glanes,Primeur,,Rouge,,IGP Coteaux de Glanes Primeur Rouge,3R462
IGP,Tranquille,Aveyron,,,Rosé,,IGP Aveyron Rosé,3S121
IGP,Tranquille,Aveyron,,,Rouge,,IGP Aveyron Rouge,3R121
IGP,Tranquille,Aveyron,,,Blanc sec,,IGP Aveyron Blanc sec,3B121
IGP,Tranquille,Aveyron,Primeur,,Rosé,,IGP Aveyron Primeur Rosé,3S121
IGP,Tranquille,Aveyron,Primeur,,Rouge,,IGP Aveyron Primeur Rouge,3R121
IGP,Tranquille,Aveyron,Primeur,,Blanc sec,,IGP Aveyron Primeur Blanc sec,3B121
IGP,Tranquille,Ariége,,,Rosé,,IGP Ariége Rosé,3S091
IGP,Tranquille,Ariége,,,Rouge,,IGP Ariége Rouge,3R091
IGP,Tranquille,Ariége,,,Blanc sec,,IGP Ariége Blanc sec,3B091
IGP,Tranquille,Ariége,,,Blanc doux,,IGP Ariége Blanc doux,3B091U
IGP,Tranquille,Agenais,,,Rosé,,IGP Agenais Rosé,3S472
IGP,Tranquille,Agenais,,,Rouge,,IGP Agenais Rouge,3R472
IGP,Tranquille,Agenais,,,Blanc sec,,IGP Agenais Blanc sec,3B472
IGP,Tranquille,Agenais,,,Blanc doux,,IGP Agenais Blanc doux,3B472
IGP,Tranquille,Agenais,Primeur,,Rosé,,IGP Agenais Primeur Rosé,3S472
IGP,Tranquille,Agenais,Primeur,,Rouge,,IGP Agenais Primeur Rouge,3R472
IGP,Tranquille,Agenais,Primeur,,Blanc sec,,IGP Agenais Primeur Blanc sec,3B472
IGP,Tranquille,Thézac-Perricard,,,Blanc,,IGP Thézac-Perricard Blanc,3B473
IGP,Tranquille,Thézac-Perricard,,,Rosé,,IGP Thézac-Perricard Rosé,3S473
IGP,Tranquille,Thézac-Perricard,,,Rouge,,IGP Thézac-Perricard Rouge,3R473
IGP,Tranquille,Thézac-Perricard,Primeur,,Blanc,,IGP Thézac-Perricard Primeur Blanc,3B473
IGP,Tranquille,Thézac-Perricard,Primeur,,Rosé,,IGP Thézac-Perricard Primeur Rosé,3S473
IGP,Tranquille,Thézac-Perricard,Primeur,,Rouge,,IGP Thézac-Perricard Primeur Rouge,3R473
IGP,Tranquille,Landes,,,Blanc doux,,IGP Landes Blanc doux,3B401U
IGP,Tranquille,Landes,,,Rosé,,IGP Landes Rosé,3S401
IGP,Tranquille,Landes,,,Rouge,,IGP Landes Rouge,3R401
IGP,Tranquille,Landes,,,Blanc sec,,IGP Landes Blanc sec,3B401
IGP,Tranquille,Landes,Primeur,,Blanc doux,,IGP Landes Primeur Blanc doux,3B401U
IGP,Tranquille,Landes,Primeur,,Rosé,,IGP Landes Primeur Rosé,3S401
IGP,Tranquille,Landes,Primeur,,Rouge,,IGP Landes Primeur Rouge,3R401
IGP,Tranquille,Landes,Primeur,,Blanc sec,,IGP Landes Primeur Blanc sec,3B401
IGP,Tranquille,Gers,,,Blanc doux,,IGP Gers Blanc doux,3B321
IGP,Tranquille,Gers,,,Blanc sec,,IGP Gers Blanc sec,3B321
IGP,Tranquille,Gers,,,Rosé,,IGP Gers Rosé,3S321
IGP,Tranquille,Gers,,,Rouge,,IGP Gers Rouge,3R321
IGP,Tranquille,Gers,Primeur,,Blanc doux,,IGP Gers Primeur Blanc doux,3B321
IGP,Tranquille,Hors Sud-ouest,,,Rouge,,IGP Hors Sud-ouest Rouge,VT_IG_IGP
IGP,Tranquille,Hors Sud-ouest,,,Rosé,,IGP Hors Sud-ouest Rosé,VT_IG_IGP
IGP,Tranquille,Hors Sud-ouest,,,Blanc,,IGP Hors Sud-ouest Blanc,VT_IG_IGP
IGP,Mousseux,Côte du Lot,,,Rosé,,IGP Côte du Lot Mousseux Rosé,3S461M
IGP,Mousseux,Côte du Lot,,,Blanc,,IGP Côte du Lot Mousseux Blanc,3B461M
IGP,Mousseux,Comté Tolosan,,,Rosé,,IGP Comté Tolosan Mousseux Rosé,3S003M
IGP,Mousseux,Comté Tolosan,,,Blanc,,IGP Comté Tolosan Mousseux Blanc,3B003M
IGP,Mousseux,Hors Sud-ouest,,,Blanc,,IGP Hors Sud-ouest Blanc,VM_IG_IGP
IGP,Mousseux,Hors Sud-ouest,,,Rosé,,IGP Hors Sud-ouest Rosé,VM_IG_IGP
IGP,Mousseux,,,,,,IGP Mousseux,VM_IG_IGP
Vin sans IG,Tranquille,,,,Rosé,,Vin sans IG Rosé,4S999
Vin sans IG,Tranquille,,,,Rouge,,Vin sans IG Rouge,4R999
Vin sans IG,Tranquille,,,,Blanc,,Vin sans IG Blanc,4B999
Vin sans IG,Tranquille,,,,Blanc doux,,Vin sans IG Blanc doux,4B999
Vin sans IG,Tranquille,VDE BLANCHE ARMAGNAC,,,,,VDE BLANCHE ARMAGNAC,1B614H
Vin sans IG,Tranquille,VDE Armagnac,,,,,VDE Armagnac,1B611H
Vin sans IG,Tranquille,Hors Sud-ouest,,,Rouge,,Vin sans IG Hors Sud-ouest Rouge,VT_SANS_IG_AUTRES
Vin sans IG,Tranquille,Hors Sud-ouest,,,Rosé,,Vin sans IG Hors Sud-ouest Rosé,VT_SANS_IG_AUTRES
Vin sans IG,Tranquille,Hors Sud-ouest,,,Blanc,,Vin sans IG Hors Sud-ouest Blanc,VT_SANS_IG_AUTRES
Vin sans IG,Tranquille,Sans cépage,,,,,Vin sans IG Tranquille Sans cépage,VT_SANS_IG_AUTRES
Vin sans IG,Tranquille,Avec cépage,,,,,Vin sans IG Tranquille Avec cépage,VT_SANS_IG_CEPAGE
Vin sans IG,Mousseux,,,,Rosé,,Vin sans IG Rosé Mousseux,4S999M
Vin sans IG,Mousseux,,,,Rouge,,Vin sans IG Rouge Mousseux,4R999M
Vin sans IG,Mousseux,,,,Blanc,,Vin sans IG Blanc Mousseux,4B999M
Vin sans IG,Mousseux,Hors Sud-ouest,,,Blanc,,Mousseux Hors Sud-ouest Blanc,VM_SANS_IG_AUTRES
Vin sans IG,Mousseux,Hors Sud-ouest,,,Rosé,,Mousseux Hors Sud-ouest Rosé,VM_SANS_IG_AUTRES
Vin sans IG,Mousseux,Sans cépage,,,,,Vin sans IG Mousseux Sans cépage,VM_SANS_IG_AUTRES
