#interpro;categorie_libelle;categorie_code;genre_libelle;genre_code;denomination_libelle;denomination_code;mention_libelle;mention_code;lieu_libelle;lieu_code;couleur_libelle;couleur_code;cepage_libelle;cepage_code;departements;douane_code;douane_libelle;douane_taxe;douane_date;douane_noeud;cvo_taxe;cvo_date;cvo_noeud;repli_entree;repli_sorti;declassement_entree;declassement_sorti;densite;labels;code_produit;code_produit_noeud;code_analytique;code_comptable_noeud;code_douane;code_douane_noeud;alias_produit
inter-loire;IGP;IGP;;TRANQ;Val de Loire;VAL;;;;;Rouge;1;;;;L625;Vins Tranquilles;3;;G;0;;CE;;;;;;;;;;;3R009;;
inter-loire;AOC;AOC;;TRANQ;Cheverny;CHY;;;;CHY;Blanc;3;;;;L625;Vins Tranquilles;3;;G;-1;;A;;;;;;;;;;;1B231S  ;;
inter-loire;AOC;AOC;;TRANQ;Cheverny;CHY;;;;CHY;Rosé;2;;;;L625;Vins Tranquilles;3;;G;-1;;A;;;;;;;;;;;1S231S  ;;
inter-loire;AOC;AOC;;TRANQ;Cheverny;CHY;;;;CHY;Rouge;1;;;;L625;Vins Tranquilles;3;;G;-1;;A;;;;;;;;;;;1R231S  ;;
inter-loire;AOC;AOC;;TRANQ;Coteaux du Vendomois;CTXV;;;;VDM;Blanc;3;;;;L625;Vins Tranquilles;3;;G;-1;;A;;;;;;;;;;;1B218S  ;;
inter-loire;AOC;AOC;;TRANQ;Coteaux du Vendomois;CTXV;;;;VDM;Rouge;1;;;;L625;Vins Tranquilles;3;;G;-1;;A;;;;;;;;;;;1S218S  ;;
inter-loire;AOC;AOC;;TRANQ;Coteaux du Vendomois;CTXV;;;;VDM;Rouge;1;;;;L625;Vins Tranquilles;3;;G;-1;;A;;;;;;;;;;;1R218S  ;;
inter-loire;AOC;AOC;;TRANQ;Cour-Cheverny;CCHY;;;;CHY;Blanc;3;;;;L625;Vins Tranquilles;3;;G;-1;;A;;;;;;;;;;;1B232S  ;;
inter-loire;AOC;AOC;;TRANQ;Haut-Poitou;HPT;;;;;Blanc;3;;;;L625;Vins Tranquilles;3;;G;-1;;A;;;;;;;;;;;1B713S  ;;
inter-loire;AOC;AOC;;TRANQ;Haut-Poitou;HPT;;;;;Rosé;2;;;;L625;Vins Tranquilles;3;;G;-1;;A;;;;;;;;;;;1S713S  ;;
inter-loire;AOC;AOC;;TRANQ;Haut-Poitou;HPT;;;;;Rouge;1;;;;L625;Vins Tranquilles;3;;G;-1;;A;;;;;;;;;;;1R713S  ;;
inter-loire;AOC;AOC;;TRANQ;Valençay;VLY;;;;;Blanc;3;;;;L625;Vins Tranquilles;3;;G;-1;;A;;;;;;;;;;;1B233S  ;;
inter-loire;AOC;AOC;;TRANQ;Valençay;VLY;;;;;Rosé;2;;;;L625;Vins Tranquilles;3;;G;-1;;A;;;;;;;;;;;1S233S  ;;
inter-loire;AOC;AOC;;TRANQ;Valençay;VLY;;;;;Rouge;1;;;;L625;Vins Tranquilles;3;;G;-1;;A;;;;;;;;;;;1R233S  ;;
inter-loire;IGP;IGP;;TRANQ;Val de Loire;VAL;;;;;Blanc;3;Multi cépage;MULTI;;L625;Vins Tranquilles;3;;G;-1;;C;;;;;;;;;;;3B009 00;;
inter-loire;IGP;IGP;;TRANQ;Val de Loire;VAL;;;;;Blanc;3;Pinot gris;PIN;;L625;Vins Tranquilles;3;;G;-1;;C;;;;;;;;;;;3B009 AA;;
inter-loire;IGP;IGP;;TRANQ;Val de Loire;VAL;;;;;Blanc;3;Sauvignon blanc;SAU;;L625;Vins Tranquilles;3;;G;-1;;C;;;;;;;;;;;3B009 AE;;
inter-loire;IGP;IGP;;TRANQ;Val de Loire;VAL;;;;;Blanc;3;Sauvignon gris;SAU;;L625;Vins Tranquilles;3;;G;-1;;C;;;;;;;;;;;3B009 AF;;
inter-loire;IGP;IGP;;TRANQ;Val de Loire;VAL;;;;;Blanc;3;Chardonnay blanc;CHA;;L625;Vins Tranquilles;3;;G;-1;;C;;;;;;;;;;;3B009 CA;;
inter-loire;IGP;IGP;;TRANQ;Val de Loire;VAL;;;;;Blanc;3;Chenin blanc;CHE;;L625;Vins Tranquilles;3;;G;-1;;C;;;;;;;;;;;3B009 CF;;
inter-loire;IGP;IGP;;TRANQ;Val de Loire;VAL;;;;;Blanc;3;Folle blanche blanc;FBL;;L625;Vins Tranquilles;3;;G;-1;;C;;;;;;;;;;;3B009 CL;;
inter-loire;IGP;IGP;;TRANQ;Val de Loire;VAL;;;;;Blanc;3;Grolleau gris;GRO;;L625;Vins Tranquilles;3;;G;-1;;C;;;;;;;;;;;3B009 CU;;
inter-loire;IGP;IGP;;TRANQ;Val de Loire;VAL;;;;;Blanc;3;Melon blanc;MEL;;L625;Vins Tranquilles;3;;G;-1;;C;;;;;;;;;;;3B009 DK;;
inter-loire;IGP;IGP;;TRANQ;Val de Loire;VAL;;;;;Blanc;3;Pinot blanc;PIN;;L625;Vins Tranquilles;3;;G;-1;;C;;;;;;;;;;;3B009 59;;
inter-loire;IGP;IGP;;TRANQ;Val de Loire;VAL;;;;;Rouge;1;Multi cépage;MULTI;;L625;Vins Tranquilles;3;;G;-1;;C;;;;;;;;;;;3R009 00;;
inter-loire;IGP;IGP;;TRANQ;Val de Loire;VAL;;;;;Rouge;1;Pinot noir;PIN;;L625;Vins Tranquilles;3;;G;-1;;C;;;;;;;;;;;3R009 AB;;
inter-loire;IGP;IGP;;TRANQ;Val de Loire;VAL;;;;;Rouge;1;Cabernet franc noir;CBF;;L625;Vins Tranquilles;3;;G;-1;;C;;;;;;;;;;;3R009 BW;;
inter-loire;IGP;IGP;;TRANQ;Val de Loire;VAL;;;;;Rouge;1;Cabernet sauvignon noir;CBS;;L625;Vins Tranquilles;3;;G;-1;;C;;;;;;;;;;;3R009 BX;;
inter-loire;IGP;IGP;;TRANQ;Val de Loire;VAL;;;;;Rouge;1;Gamay noir;GAM;;L625;Vins Tranquilles;3;;G;-1;;C;;;;;;;;;;;3R009 CM;;
inter-loire;IGP;IGP;;TRANQ;Val de Loire;VAL;;;;;Rouge;1;Grolleau noir;GRO;;L625;Vins Tranquilles;3;;G;-1;;C;;;;;;;;;;;3R009 CT;;
inter-loire;IGP;IGP;;TRANQ;Val de Loire;VAL;;;;;Rouge;1;Cot noir;COT;;L625;Vins Tranquilles;3;;G;-1;;C;;;;;;;;;;;3R009 CZ;;
inter-loire;IGP;IGP;;TRANQ;Val de Loire;VAL;;;;;Rouge;1;Merlot noir;MERL;;L625;Vins Tranquilles;3;;G;-1;;C;;;;;;;;;;;3R009 DE;;
inter-loire;IGP;IGP;;TRANQ;Val de Loire;VAL;;;;;Rouge;1;Abouriou noir;ABO;;L625;Vins Tranquilles;3;;G;-1;;C;;;;;;;;;;;3R009 35;;
inter-loire;IGP;IGP;;TRANQ;Val de Loire;VAL;;;;;Rouge;1;Pineau d'Aunis noir;PINAU;;L625;Vins Tranquilles;3;;G;-1;;C;;;;;;;;;;;3R009 58;;
inter-loire;IGP;IGP;;TRANQ;Val de Loire;VAL;;;;;Rosé;2;Multi cépage;MULTI;;L625;Vins Tranquilles;3;;G;-1;;C;;;;;;;;;;;3S009 00;;
inter-loire;IGP;IGP;;TRANQ;Val de Loire;VAL;;;;;Rosé;2;Pinot noir;PIN;;L625;Vins Tranquilles;3;;G;-1;;C;;;;;;;;;;;3S009 AB;;
inter-loire;IGP;IGP;;TRANQ;Val de Loire;VAL;;;;;Rosé;2;Egiodola noir;EGI;;L625;Vins Tranquilles;3;;G;-1;;C;;;;;;;;;;;3S009 AT;;
inter-loire;IGP;IGP;;TRANQ;Val de Loire;VAL;;;;;Rosé;2;Cabernet franc noir;CBF;;L625;Vins Tranquilles;3;;G;-1;;C;;;;;;;;;;;3S009 BW;;
inter-loire;IGP;IGP;;TRANQ;Val de Loire;VAL;;;;;Rosé;2;Cabernet sauvignon noir;CBS;;L625;Vins Tranquilles;3;;G;-1;;C;;;;;;;;;;;3S009 BX;;
inter-loire;IGP;IGP;;TRANQ;Val de Loire;VAL;;;;;Rosé;2;Gamay noir;GAM;;L625;Vins Tranquilles;3;;G;-1;;C;;;;;;;;;;;3S009 CM;;
inter-loire;IGP;IGP;;TRANQ;Val de Loire;VAL;;;;;Rosé;2;Grolleau noir;GRO;;L625;Vins Tranquilles;3;;G;-1;;C;;;;;;;;;;;3S009 CT;;
inter-loire;IGP;IGP;;TRANQ;Val de Loire;VAL;;;;;Rosé;2;Cot noir;COT;;L625;Vins Tranquilles;3;;G;-1;;C;;;;;;;;;;;3S009 CZ;;
inter-loire;IGP;IGP;;TRANQ;Val de Loire;VAL;;;;;Rosé;2;Merlot noir;MERL;;L625;Vins Tranquilles;3;;G;-1;;C;;;;;;;;;;;3S009 DE;;
inter-loire;IGP;IGP;;TRANQ;Val de Loire;VAL;;;;;Rosé;2;Abouriou noir;ABO;;L625;Vins Tranquilles;3;;G;-1;;C;;;;;;;;;;;3S009 35;;
inter-loire;IGP;IGP;;TRANQ;Val de Loire;VAL;;;;;Rosé;2;Pineau d'Aunis noir;PINAU;;L625;Vins Tranquilles;3;;G;-1;;C;;;;;;;;;;;3S009 58;;
