"COD_CEP";"LIB_CEP";"COU_CEP";"DAT_DER_MAJ";"COD_CATCEP";"COD_CEP_P";"INDIC_EXPCEP";"COD_TYPDEST_CEP"
"2443";"TEOULIER N";"2";"";"G";"";"N";"CUVE"
"2447";"TOUSTAIN N";"2";"";"G";"";"N";"CUVE"
"2453";"TROUSSEAU N";"2";"";"G";"";"N";"CUVE"
"2454";"TROUSSEAU GRIS G";"";"25/06/2010 10:20:35";"G";"";"";"CUVE"
"2457";"TROYEN N";"2";"";"G";"";"N";"CUVE"
"2463";"FURMINT B";"1";"";"G";"";"N";"CUVE"
"2465";"VELT.RG.PRECOCE RS";"3";"";"G";"";"N";"CUVE"
"2467";"VERDELHO L'ANJOU B";"1";"";"G";"";"N";"CUVE"
"2471";"VERDESSE B";"1";"";"G";"";"N";"CUVE"
"2475";"VERMENTINO B";"1";"";"G";"";"N";"CUVE"
"2477";"MUSC.PTS.GR.RSE.RS";"3";"";"G";"";"N";"CUVE"
"2501";"ALEATICO N";"2";"";"G";"";"N";"CUVE"
"2507";"MONTANACCIO N";"2";"";"G";"";"N";"CUVE"
"2509";"BRUSTIANO B";"1";"";"G";"";"N";"CUVE"
"2511";"CODIVARTA B.";"1";"";"G";"";"N";"CUVE"
"2521";"MONICA NERA N";"2";"";"G";"";"N";"CUVE"
"2603";"MAYORQUIN B";"1";"";"G";"";"N";"CUVE"
"2605";"PLANT VERT B";"1";"";"G";"";"N";"CUVE"
"2621";"TRESSOT N";"2";"";"G";"";"N";"CUVE"
"2623";"BALLANGER";"6";"";"G";"";"N";"CUVE"
"2631";"BALEILLE B";"1";"";"G";"";"N";"CUVE"
"2633";"GROS BOUSCHET N";"2";"";"G";"";"N";"CUVE"
"2635";"GRINGET B";"1";"";"G";"";"N";"CUVE"
"2637";"ROUSSETTE D AYZE B";"1";"";"G";"";"N";"CUVE"
"2641";"SYLVANER ROUGE RG";"5";"";"G";"";"N";"CUVE"
"2647";"VALAIS NOIR N";"2";"";"G";"";"N";"CUVE"
"2651";"GRASSEN N";"2";"";"G";"";"N";"CUVE"
"2653";"DOLCETTO N";"2";"";"G";"";"O";"CUVE"
"2655";"NEBIOLO PIEMONT N";"2";"";"G";"";"O";"CUVE"
"2657";"MALIVERNE";"6";"";"G";"";"N";"CUVE"
"2661";"VALENTIN B";"1";"";"G";"";"N";"CUVE"
"2663";"BLANQUEIRON B";"1";"";"G";"";"N";"CUVE"
"2665";"PANEA BIANCA B";"1";"";"G";"";"O";"CUVE"
"2667";"CRAVEIRO N";"2";"";"G";"";"O";"CUVE"
"2673";"ONCHETTE N";"2";"";"G";"";"N";"CUVE"
"2675";"MECLE BOURGOIN N";"2";"";"G";"";"N";"CUVE"
"2677";"COURBU NOIR N";"2";"";"G";"";"N";"CUVE"
"2683";"CROUCHEN B";"1";"";"G";"";"N";"CUVE"
"2684";"REFOSCO P.R";"1";"09/02/2011 16:49:01";"G";"";"";"CUVE"
"2685";"TEMPRANILLO N";"2";"";"G";"";"N";"CUVE"
"2686";"TINTO PAIS";"2";"17/10/2006 11:24:06";"G";"";"O";"CUVE"
"2687";"TOCAI FRIULANO B";"1";"09/02/2011 16:49:01";"G";"";"";"CUVE"
"2691";"PETIT COURBU B";"1";"";"G";"";"N";"CUVE"
"2999";"DIV. CUVE EXPERIM.";"";"26/06/2002 11:20:57";"G";"";"N";"CUVE"
