CERTIFICATION,GENRE,APPELLATION,MENTION,LIEU,COULEUR,CEPAGE,LIBELLE_PRODUIT,IDENTIFIANT INAO
AOC,,AOC Alsace Grand Cru,,Kirchberg de Ribeauvillé,,Gewurztraminer,AOC Alsace Grand Cru Kirchberg de Ribeauvillé Gewurztraminer,1B022S 1
AOC,,AOC Alsace Grand Cru,,Kitterlé,,Riesling,AOC Alsace Grand Cru Kitterlé Riesling,1B023S 4
AOC,,AOC Alsace Grand Cru,,Kitterlé,,Pinot Gris,AOC Alsace Grand Cru Kitterlé Pinot Gris,1B023S 3
AOC,,AOC Alsace Grand Cru,,Kitterlé,,Muscat,AOC Alsace Grand Cru Kitterlé Muscat,1B023S 2
AOC,,AOC Alsace Grand Cru,,Kitterlé,,Gewurztraminer,AOC Alsace Grand Cru Kitterlé Gewurztraminer,1B023S 1
AOC,,AOC Alsace Grand Cru,,Moenchberg,,Riesling,AOC Alsace Grand Cru Moenchberg Riesling,1B027S 4
AOC,,AOC Alsace Grand Cru,,Moenchberg,,Pinot Gris,AOC Alsace Grand Cru Moenchberg Pinot Gris,1B027S 3
AOC,,AOC Alsace Grand Cru,,Moenchberg,,Muscat,AOC Alsace Grand Cru Moenchberg Muscat,1B027S 2
AOC,,AOC Alsace Grand Cru,,Moenchberg,,Gewurztraminer,AOC Alsace Grand Cru Moenchberg Gewurztraminer,1B027S 1
AOC,,AOC Alsace Grand Cru,,Ollwiller,,Riesling,AOC Alsace Grand Cru Ollwiller Riesling,1B029S 4
AOC,,AOC Alsace Grand Cru,,Ollwiller,,Pinot Gris,AOC Alsace Grand Cru Ollwiller Pinot Gris,1B029S 3
AOC,,AOC Alsace Grand Cru,,Ollwiller,,Muscat,AOC Alsace Grand Cru Ollwiller Muscat,1B029S 2
AOC,,AOC Alsace Grand Cru,,Ollwiller,,Gewurztraminer,AOC Alsace Grand Cru Ollwiller Gewurztraminer,1B029S 1
AOC,,AOC Alsace Grand Cru,,Rangen,,Riesling,AOC Alsace Grand Cru Rangen Riesling,1B034S 4
AOC,,AOC Alsace Grand Cru,,Rangen,,Pinot Gris,AOC Alsace Grand Cru Rangen Pinot Gris,1B034S 3
AOC,,AOC Alsace Grand Cru,,Rangen,,Muscat,AOC Alsace Grand Cru Rangen Muscat,1B034S 2
AOC,,AOC Alsace Grand Cru,,Rangen,,Gewurztraminer,AOC Alsace Grand Cru Rangen Gewurztraminer,1B034S 1
AOC,,AOC Alsace Grand Cru,,Rosacker,,Riesling,AOC Alsace Grand Cru Rosacker Riesling,1B035S 4
AOC,,AOC Alsace Grand Cru,,Rosacker,,Pinot Gris,AOC Alsace Grand Cru Rosacker Pinot Gris,1B035S 3
AOC,,AOC Alsace Grand Cru,,Rosacker,,Muscat,AOC Alsace Grand Cru Rosacker Muscat,1B035S 2
AOC,,AOC Alsace Grand Cru,,Rosacker,,Gewurztraminer,AOC Alsace Grand Cru Rosacker Gewurztraminer,1B035S 1
AOC,,AOC Alsace Grand Cru,,Saering,,Riesling,AOC Alsace Grand Cru Saering Riesling,1B036S 4
AOC,,AOC Alsace Grand Cru,,Saering,,Pinot Gris,AOC Alsace Grand Cru Saering Pinot Gris,1B036S 3
AOC,,AOC Alsace Grand Cru,,Saering,,Muscat,AOC Alsace Grand Cru Saering Muscat,1B036S 2
AOC,,AOC Alsace Grand Cru,,Saering,,Gewurztraminer,AOC Alsace Grand Cru Saering Gewurztraminer,1B036S 1
AOC,,AOC Alsace Grand Cru,,Schlossberg,,Riesling,AOC Alsace Grand Cru Schlossberg Riesling,1B037S 4
AOC,,AOC Alsace Grand Cru,,Schlossberg,,Pinot Gris,AOC Alsace Grand Cru Schlossberg Pinot Gris,1B037S 3
AOC,,AOC Alsace Grand Cru,,Schlossberg,,Muscat,AOC Alsace Grand Cru Schlossberg Muscat,1B037S 2
AOC,,AOC Alsace Grand Cru,,Schlossberg,,Gewurztraminer,AOC Alsace Grand Cru Schlossberg Gewurztraminer,1B037S 1
AOC,,AOC Alsace Grand Cru,,Sommerberg,,Riesling,AOC Alsace Grand Cru Sommerberg Riesling,1B039S 4
AOC,,AOC Alsace Grand Cru,,Sommerberg,,Pinot Gris,AOC Alsace Grand Cru Sommerberg Pinot Gris,1B039S 3
AOC,,AOC Alsace Grand Cru,,Sommerberg,,Muscat,AOC Alsace Grand Cru Sommerberg Muscat,1B039S 2
AOC,,AOC Alsace Grand Cru,,Sommerberg,,Gewurztraminer,AOC Alsace Grand Cru Sommerberg Gewurztraminer,1B039S 1
AOC,,AOC Alsace Grand Cru,,Sonnenglanz,,Riesling,AOC Alsace Grand Cru Sonnenglanz Riesling,1B040S 4
AOC,,AOC Alsace Grand Cru,,Sonnenglanz,,Pinot Gris,AOC Alsace Grand Cru Sonnenglanz Pinot Gris,1B040S 3
AOC,,AOC Alsace Grand Cru,,Sonnenglanz,,Muscat,AOC Alsace Grand Cru Sonnenglanz Muscat,1B040S 2
AOC,,AOC Alsace Grand Cru,,Sonnenglanz,,Gewurztraminer,AOC Alsace Grand Cru Sonnenglanz Gewurztraminer,1B040S 1
AOC,,AOC Alsace Grand Cru,,Spiegel,,Riesling,AOC Alsace Grand Cru Spiegel Riesling,1B041S 4
AOC,,AOC Alsace Grand Cru,,Spiegel,,Pinot Gris,AOC Alsace Grand Cru Spiegel Pinot Gris,1B041S 3
AOC,,AOC Alsace Grand Cru,,Spiegel,,Muscat,AOC Alsace Grand Cru Spiegel Muscat,1B041S 2
AOC,,AOC Alsace Grand Cru,,Spiegel,,Gewurztraminer,AOC Alsace Grand Cru Spiegel Gewurztraminer,1B041S 1
AOC,,AOC Alsace Grand Cru,,Wiebelsberg,,Riesling,AOC Alsace Grand Cru Wiebelsberg Riesling,1B047S 4
AOC,,AOC Alsace Grand Cru,,Wiebelsberg,,Pinot Gris,AOC Alsace Grand Cru Wiebelsberg Pinot Gris,1B047S 3
AOC,,AOC Alsace Grand Cru,,Wiebelsberg,,Muscat,AOC Alsace Grand Cru Wiebelsberg Muscat,1B047S 2
AOC,,AOC Alsace Grand Cru,,Wiebelsberg,,Gewurztraminer,AOC Alsace Grand Cru Wiebelsberg Gewurztraminer,1B047S 1
AOC,,AOC Alsace Grand Cru,,Altenberg de Wolxheim,,Riesling,AOC Alsace Grand Cru Altenberg de Wolxheim Riesling,1B004S 4
AOC,,AOC Alsace Grand Cru,,Altenberg de Wolxheim,,Pinot Gris,AOC Alsace Grand Cru Altenberg de Wolxheim Pinot Gris,1B004S 3
AOC,,AOC Alsace Grand Cru,,Altenberg de Wolxheim,,Muscat,AOC Alsace Grand Cru Altenberg de Wolxheim Muscat,1B004S 2
AOC,,AOC Alsace Grand Cru,,Altenberg de Wolxheim,,Gewurztraminer,AOC Alsace Grand Cru Altenberg de Wolxheim Gewurztraminer,1B004S 1
AOC,,AOC Alsace Grand Cru,,Engelberg,,Riesling,AOC Alsace Grand Cru Engelberg Riesling,1B008S 4
