#interpro;categorie_libelle;categorie_code;genre_libelle;genre_code;denomination_libelle;denomination_code;mention_libelle;mention_code;lieu_libelle;lieu_code;couleur_libelle;couleur_code;cepage_libelle;cepage_code;departements;douane_code;douane_libelle;douane_taxe;douane_date;douane_noeud;cvo_taxe;cvo_date;cvo_noeud;repli_entree;repli_sorti;declassement_entree;declassement_sorti;densite;labels;code_produit;code_produit_noeud;code_analytique;code_comptable_noeud;code_douane;code_douane_noeud;alias_produit;format_libelle_noeud;format_libelle_noeud
inter-loire;AOC;AOC_INTERLOIRE/AOC;;TRANQ;Muscadet Coteaux de la Loire;MUSCDL;;;;;Blanc;3;Melon;MEL;;L387;Vins Tranquilles;3,75;2015-08-01;G;4;2013-08-01;A;;;;;;;1060;cepage;9940;cepage;1B229;cepage;;%g% %a% %l% %m%;certification
inter-loire;AOC;AOC_INTERLOIRE/AOC;;TRANQ;Muscadet Coteaux de la Loire;MUSCDL;Sur lie;LIE;;;Blanc;3;Melon;MEL;;L387;Vins Tranquilles;3,75;2015-08-01;G;4;2013-08-01;A;;;;;;;1061;cepage;9950;cepage;1B22901;cepage;;%g% %a% %l% %m%;certification
inter-loire;AOC;AOC_INTERLOIRE/AOC;;TRANQ;Muscadet Côtes de Grand Lieu;MUSCGL;;;;;Blanc;3;Melon;MEL;;L387;Vins Tranquilles;3,75;2015-08-01;G;4;2013-08-01;A;;;;;;;1070;cepage;9940;cepage;1B227;cepage;;%g% %a% %l% %m%;certification
inter-loire;AOC;AOC_INTERLOIRE/AOC;;TRANQ;Muscadet Côtes de Grand Lieu;MUSCGL;Sur lie;LIE;;;Blanc;3;Melon;MEL;;L387;Vins Tranquilles;3,75;2015-08-01;G;4;2013-08-01;A;;;;;;;1071;cepage;9950;cepage;1B22701;cepage;;%g% %a% %l% %m%;certification
inter-loire;AOC;AOC_INTERLOIRE/AOC;;TRANQ;Muscadet AC;MUSAC;Primeur;PRI;;;Blanc;3;Melon;MEL;;L387;Vins Tranquilles;3,75;2015-08-01;G;4;2013-08-01;A;;;;;;;1080;cepage;9940;cepage;1B22802;cepage;;%g% %a% %l% %m%;certification
inter-loire;AOC;AOC_INTERLOIRE/AOC;;TRANQ;Muscadet Sèvre et Maine;MUSSM;;;;;Blanc;3;Melon;MEL;;L387;Vins Tranquilles;3,75;2015-08-01;G;4;2013-08-01;A;;;;;;;1050;cepage;9940;cepage;1B230;cepage;1230BC1|1230BC2|1230BC3;%g% %a% %l% %m%;certification
inter-loire;AOC;AOC_INTERLOIRE/AOC;;TRANQ;Muscadet Sèvre et Maine;MUSSM;Sur lie;LIE;;;Blanc;3;Melon;MEL;;L387;Vins Tranquilles;3,75;2015-08-01;G;4;2013-08-01;A;;;;;;;1051;cepage;9950;cepage;1B23001;cepage;;%g% %a% %l% %m%;certification
inter-loire;AOC;AOC_INTERLOIRE/AOC;;TRANQ;Muscadet Sèvre et Maine;MUSSM;;;Gorges;GORGES;Blanc;3;Melon;MEL;;L387;Vins Tranquilles;3,75;2015-08-01;G;4;2013-08-01;A;;;;;;;1250;cepage;9940;cepage;1B702;cepage;;%g% %a% %l% %m%;certification
inter-loire;AOC;AOC_INTERLOIRE/AOC;;TRANQ;Muscadet Sèvre et Maine;MUSSM;;;Clisson;CLISSON;Blanc;3;Melon;MEL;;L387;Vins Tranquilles;3,75;2015-08-01;G;4;2013-08-01;A;;;;;;;1150;cepage;9940;cepage;1B701;cepage;;%g% %a% %l% %m%;certification
inter-loire;AOC;AOC_INTERLOIRE/AOC;;TRANQ;Muscadet Sèvre et Maine;MUSSM;;;Le Pallet;LEPALLET;Blanc;3;Melon;MEL;;L387;Vins Tranquilles;3,75;2015-08-01;G;4;2013-08-01;A;;;;;;;1350;cepage;9940;cepage;1B703;cepage;;%g% %a% %l% %m%;certification
inter-loire;AOC;AOC_INTERLOIRE/AOC;;TRANQ;Quarts de Chaume;QDC;;;;;Blanc;3;Chenin;CHE;;L387;Vins Tranquilles;3,75;2015-08-01;G;6;;A;;;;;;;111;cepage;9110;cepage;1B214L;cepage;;%g% %a% %l% %m%;certification
inter-loire;AOC;AOC_INTERLOIRE/AOC;;TRANQ;Rosé d'Anjou;RAJ;;;;;Rosé;2;;;;L387;Vins Tranquilles;3,75;2015-08-01;G;4,5;;A;;;;;;;123;cepage;9120;cepage;1S200D;cepage;1S200D03;%g% %a% %l% %m%;certification
inter-loire;AOC;AOC_INTERLOIRE/AOC;;TRANQ;Rosé de Loire;RLO;;;;;Rosé;2;;;;L387;Vins Tranquilles;3,75;2015-08-01;G;4,5;;A;;;;;;;413;cepage;9410;cepage;1S209S;cepage;;%g% %a% %l% %m%;certification
inter-loire;AOC;AOC_INTERLOIRE/AOC;;TRANQ;Saumur;SAU;;;;;Blanc;3;Chenin;CHE;;L387;Vins Tranquilles;3,75;2015-08-01;G;4,2;;CO;;;;;;;151;cepage;9150;cepage;1B206;cepage;;%g% %a% %l% %co% %m%;appellation
inter-loire;AOC;AOC_INTERLOIRE/AOC;;TRANQ;Saumur;SAU;;;Puy-Notre-Dame;PND;;1;;;;L387;Vins Tranquilles;3,75;2015-08-01;G;4;;L;;;;;;;152;cepage;9240;cepage;1R189S;cepage;;%g% %a% %l% %m%;certification
inter-loire;AOC;AOC_INTERLOIRE/AOC;;TRANQ;Saumur Champigny;SAUCHA;;;;;Rouge;1;;;;L387;Vins Tranquilles;3,75;2015-08-01;G;4;;L;;;;;;;162;cepage;9160;cepage;1R208;cepage;;%g% %a% %l% %m%;certification
inter-loire;AOC;AOC_INTERLOIRE/AOC;Fines bulles;EFF;Saumur;SAU;;;;;Blanc;3;;;;L385;Vins Mousseux;9,29;2015-08-01;G;3,8;;A;;;;;;;174;cepage;9170;cepage;1B205M;cepage;1S205M;%a% %g% %l% %co% %m%;genre
inter-loire;AOC;AOC_INTERLOIRE;Fines bulles;EFF;Saumur;SAU;;;;;Rosé;2;;;;L385;Vins Mousseux;9,29;2015-08-01;G;3,8;;A;;;;;;;174;cepage;9170;cepage;1B205M;cepage;1S205M;%a% %g% %l% %co% %m%;genre
inter-loire;AOC;AOC_INTERLOIRE/AOC;;TRANQ;Saumur;SAU;;;;;Rouge;1;;;;L387;Vins Tranquilles;3,75;2015-08-01;G;4,5;;CO;;;;;;;182;cepage;9180;cepage;1R206S;cepage;;%g% %a% %l% %co% %m%;appellation
inter-loire;AOC;AOC_INTERLOIRE/AOC;;TRANQ;Savennières;SAV;;;;;Blanc;3;Chenin;CHE;;L387;Vins Tranquilles;3,75;2015-08-01;G;5,5;2013-08-01;L;;;;;;;141;cepage;9140;cepage;1B216S;cepage;1B216L|1B216S01|1B216L01;%g% %a% %l% %m%;certification
inter-loire;AOC;AOC_INTERLOIRE/AOC;;TRANQ;Savennières Roche aux moines;SAVRAM;;;;;Blanc;3;Chenin;CHE;;L387;Vins Tranquilles;3,75;2015-08-01;G;4,5;;G;;;;;;;651;cepage;9250;cepage;1B216S02;cepage;1B216L02;%g% %a% %l% %m%;certification
inter-loire;AOC;AOC_INTERLOIRE/AOC;;TRANQ;Savennières Coulée de Serrant;SAV;;;;CDS;Blanc;3;Chenin;CHE;;L387;Vins Tranquilles;3,75;2015-08-01;G;4,5;2013-08-01;L;;;;;;;651;cepage;9250;cepage;1B216S02;cepage;1B216S01;%g% %a% %l% %m%;certification
inter-loire;AOC;AOC_INTERLOIRE/AOC;;TRANQ;St Nicolas de Bourgueil;STN;;;;;Rouge;1;Cabernet Franc;CBF;;L387;Vins Tranquilles;3,75;2015-08-01;G;3,79;;A;;;;;;;602;cepage;9600;cepage;1R221S;cepage;;%g% %a% %l% %co% %m%;appellation
inter-loire;AOC;AOC_INTERLOIRE/AOC;;TRANQ;St Nicolas de Bourgueil;STN;;;;;Rosé;2;Cabernet Franc;CBF;;L387;Vins Tranquilles;3,75;2015-08-01;G;3,79;;A;;;;;;;603;cepage;9600;cepage;1S221S;cepage;;%g% %a% %l% %co% %m%;appellation
inter-loire;AOC;AOC_INTERLOIRE/AOC;;TRANQ;Touraine;TOU;;;;;Blanc;3;;;;L387;Vins Tranquilles;3,75;2015-08-01;G;4;;A;;;;;;;511;cepage;9500;cepage;1B235S;cepage;;%g% %a% %l% %co% %m%;appellation
inter-loire;AOC;AOC_INTERLOIRE/AOC;;TRANQ;Touraine;TOU;;;;;Rouge;1;;;;L387;Vins Tranquilles;3,75;2015-08-01;G;4;;A;;;;;;;512;cepage;9500;cepage;1R235S;cepage;;%g% %a% %l% %co% %m%;appellation
inter-loire;AOC;AOC_INTERLOIRE/AOC;;TRANQ;Touraine;TOU;;;;;Rosé;2;;;;L387;Vins Tranquilles;3,75;2015-08-01;G;4;;A;;;;;;;513;cepage;9500;cepage;1S235S;cepage;;%g% %a% %l% %co% %m%;appellation
inter-loire;AOC;AOC_INTERLOIRE/AOC;Fines bulles;EFF;Touraine;TOU;;;;;Blanc;3;;;;L385;Vins Mousseux;9,29;2015-08-01;G;4;;G;;;;;;;514;cepage;9500;cepage;1B235M;cepage;1B235P|1S235P|1S235M|1R234M;%a% %g% %l% %co% %m%;genre
inter-loire;AOC;AOC_INTERLOIRE;Fines bulles;EFF;Touraine;TOU;;;;;Rosé;2;;;;L385;Vins Mousseux;9,29;2015-08-01;G;4;;G;;;;;;;514;cepage;9500;cepage;1B235M;cepage;1B235P|1S235P|1S235M|1R234M;%a% %g% %l% %co% %m%;genre
inter-loire;AOC;AOC_INTERLOIRE/AOC;;TRANQ;Touraine;TOU;Primeur;PRI;;;Rouge;1;;;;L387;Vins Tranquilles;3,75;2015-08-01;G;4;;A;;;;;;;522;cepage;9500;cepage;1R235S01;cepage;;%g% %a% %l% %co% %m%;appellation
inter-loire;AOC;AOC_INTERLOIRE/AOC;;TRANQ;Touraine;TOU;Primeur;PRI;;;Rosé;2;;;;L387;Vins Tranquilles;3,75;2015-08-01;G;4;;A;;;;;;;523;cepage;9500;cepage;1S235S01;cepage;;%g% %a% %l% %co% %m%;appellation
inter-loire;AOC;AOC_INTERLOIRE/AOC;;TRANQ;Touraine;TOU;;;Amboise;AMB;Blanc;3;Chenin;CHE;;L387;Vins Tranquilles;3,75;2015-08-01;G;4;;A;;;;;;;531;cepage;9530;cepage;1B236;cepage;;%g% %a% %l% %co% %m%;appellation
inter-loire;AOC;AOC_INTERLOIRE/AOC;;TRANQ;Touraine;TOU;;;Amboise;AMB;Rouge;1;;;;L387;Vins Tranquilles;3,75;2015-08-01;G;4;;A;;;;;;;532;cepage;9530;cepage;1R236S;cepage;;%g% %a% %l% %co% %m%;appellation
inter-loire;AOC;AOC_INTERLOIRE/AOC;;TRANQ;Touraine;TOU;;;Amboise;AMB;Rosé;2;;;;L387;Vins Tranquilles;3,75;2015-08-01;G;4;;A;;;;;;;533;cepage;9530;cepage;1S236;cepage;;%g% %a% %l% %co% %m%;appellation
inter-loire;AOC;AOC_INTERLOIRE/AOC;;TRANQ;Touraine;TOU;;;Azay-le-rideau;ALR;Blanc;3;Chenin;CHE;;L387;Vins Tranquilles;3,75;2015-08-01;G;4,5;;L;;;;;;;541;cepage;9540;cepage;1B237;cepage;;%g% %a% %l% %co% %m%;appellation
inter-loire;AOC;AOC_INTERLOIRE/AOC;;TRANQ;Touraine;TOU;;;Azay-le-rideau;ALR;Rosé;2;;;;L387;Vins Tranquilles;3,75;2015-08-01;G;4,5;;L;;;;;;;543;cepage;9540;cepage;1S237S;cepage;;%g% %a% %l% %co% %m%;appellation
inter-loire;AOC;AOC_INTERLOIRE/AOC;;TRANQ;Touraine;TOU;;;Mesland;MES;Blanc;3;Chenin;CHE;;L387;Vins Tranquilles;3,75;2015-08-01;G;3,8;;L;;;;;;;551;cepage;9550;cepage;1B238;cepage;;%g% %a% %l% %co% %m%;appellation
inter-loire;AOC;AOC_INTERLOIRE/AOC;;TRANQ;Touraine;TOU;;;Mesland;MES;Rouge;1;;;;L387;Vins Tranquilles;3,75;2015-08-01;G;3,8;;L;;;;;;;552;cepage;9550;cepage;1R238S;cepage;;%g% %a% %l% %co% %m%;appellation
inter-loire;AOC;AOC_INTERLOIRE/AOC;;TRANQ;Touraine;TOU;;;Mesland;MES;Rosé;2;;;;L387;Vins Tranquilles;3,75;2015-08-01;G;3,8;;L;;;;;;;553;cepage;9550;cepage;1S238;cepage;;%g% %a% %l% %co% %m%;appellation
inter-loire;AOC;AOC_INTERLOIRE/AOC;;TRANQ;Touraine Noble Joué;TOUNJO;;;;;Rosé;2;;;;L387;Vins Tranquilles;3,75;2015-08-01;G;3,74;;L;;;;;;;493;cepage;9610;cepage;1S239;cepage;;%g% %a% %l% %m%;certification
inter-loire;AOC;AOC_INTERLOIRE/AOC;;TRANQ;Touraine;TOU;;;Chenonceaux;CHE;Blanc;3;Sauvignon;SAUB;;L387;Vins Tranquilles;3,75;2015-08-01;G;4;;A;;;;;;;631;cepage;9650;cepage;1B705S;cepage;;%g% %a% %l% %co% %m%;appellation
inter-loire;AOC;AOC_INTERLOIRE/AOC;;TRANQ;Touraine;TOU;;;Chenonceaux;CHE;Rouge;1;;;;L387;Vins Tranquilles;3,75;2015-08-01;G;4;;A;;;;;;;632;cepage;9650;cepage;1R705S;cepage;;%g% %a% %l% %co% %m%;appellation
